code,name,subname,text,traits,flavor,back_text,back_flavor
07027,Obfuscation,,"Fast. Uses (3 charges).
[reaction] When an enemy makes an attack of opportunity against you, spend 1 charge: Cancel that attack.",Spell.,"""Now you see me...""",,
07028,Faustian Bargain,,"As an additional cost to play Faustian Bargain, add 2 [curse] tokens to the chaos bag.
Investigators at your location gain a total of 5 resources, distributed as you wish.",Pact. Cursed.,,,
07029,Sword Cane,,"Playing Sword Cane does not provoke attacks of opportunity.
[reaction] After Sword Cane enters play: Immediately trigger its ""[action]"" ability without paying its cost.
[action] Exhaust Sword Cane: <b>Fight</b>/<b>Evade.</b> You may use your [willpower] in place of your [combat] or [agility] for this attack or evasion attempt.",Item. Relic. Weapon. Melee.,,,
07030,Tides of Fate,,"Fast. Play during any [fast] window, or at the start of the round.
Replace all [curse] tokens in the chaos bag with an equal number of [bless] tokens. At the end of the round, replace all [bless] tokens in the chaos bag with an equal number of [curse] tokens.",Spell. Blessed.,,,
07031,Ward of Radiance,,"Fast. Play when an investigator at your location draws a non-weakness treachery card.
Reveal 5 random chaos tokens from the chaos bag.
If a [bless] or [elder_sign] token is revealed, cancel that treachery card's revelation effect.",Insight. Blessed.,,,
07032,Promise of Power,,"After you commit Promise of Power to a skill test, add 1 [curse] token to the chaos bag. If you cannot, take 2 horror instead.",Practiced. Cursed.,,,
07033,Token of Faith,,"[reaction] After a skill test ends in which 1 or more [curse] or [auto_fail] tokens were revealed, exhaust Token of Faith: Add that many [bless] tokens to the chaos bag.",Item. Charm.,,,
07034,Keep Faith,,"Fast. Play during any [fast] window.
Add 4 [bless] tokens to the chaos bag.",Fortune. Blessed.,,,
07035,Predestined,,"Max 1 committed per skill test.
You may commit Predestined to any type of test.
If this test fails, either add 2 [bless] tokens to the chaos bag or remove 2 [curse] tokens from the chaos bag.",Fortune. Blessed.,,,
07036,Beloved,,"If a [bless] token is revealed during this test, you may remove Beloved from the game to replace that token's effects with the following: ""You automatically succeed. <i>(Do not reveal another token. Return this token to the chaos bag after this test ends)</i>.""",Innate. Blessed.,Love is perhaps the strongest spell of all.,,
07037,Tempt Fate,,"Fast. Play during any [fast] window.
Add 3 [curse] tokens to the chaos bag. Then, add 3 [bless] tokens to the chaos bag and draw 1 card.",Fortune. Blessed. Cursed.,,,
07038,Accursed Follower,,"<b>Spawn</b> - Location farthest from you.
Aloof.
<b>Forced</b> - At the end of the enemy phase: Add 1 [curse] token to the chaos bag.",Humanoid. Cultist. Cursed.,,,
07039,Dread Curse,,<b>Revelation</b> - Add 5 [curse] tokens to the chaos bag.,Curse.,"We all have wings, but they have not been of any avail to us and if we could tear them off, we would do so.
 - Franz Kafka, ""The Blue Octavo Notebooks""",,
07040,Day of Reckoning,,"<b>Revelation</b> - Attach Day of Reckoning to the current agenda. Then, search the chaos bag for an [elder_sign] token and seal it on Day of Reckoning.
<b>Card design inspired by the events of Arkham Nights 2018.</b>",Endtimes.,,,
